a	あ
zbh	ざぶう
zbw	ざべい
zbp	ざぼう
zbya	ざびゃ
zbyu	ざびゅ
zbyo	ざびょ
zbyh	ざびゅう
zbyp	ざびょう
zga	ざが
zgi	ざぎ
zgu	ざぐ
zge	ざげ
zgo	ざご
zgz	ざがん
zgn	ざがん
zgk	ざぎん
zgj	ざぐん
zgd	ざげん
zgl	ざごん
zgq	ざがい
zgh	ざぐう
zgw	ざげい
zgp	ざごう
zgya	ざぎゃ
zgyu	ざぎゅ
zgyo	ざぎょ
zgyh	ざぎゅう
zgyp	ざぎょう
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
yz	やん
yn	やん
yj	ゆん
yd	いぇん
yl	よん
yq	やい
yh	ゆう
yw	いぇい
yp	よう
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rz	らん
rn	らん
rk	りん
rj	るん
rd	れん
rl	ろん
rq	らい
rh	るう
rw	れい
rp	ろう
rya	りゃ
ryu	りゅ
rye	りぇ
ryo	りょ
ryz	りゃん
ryn	りゃん
ryj	りゅん
ryd	りぇん
ryl	りょん
ryq	りゃい
ryh	りゅう
ryw	りぇい
ryp	りょう
wa	わ
wi	うぃ
we	うぇ
wo	を
wn	わん
wk	うぃん
wd	うぇん
wl	うぉん
wq	わい
ww	うぇい
wp	うぉう
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gz	がん
gn	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
gya	ぎゃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
gyz	ぎゃん
gyn	ぎゃん
gyj	ぎゅん
gyd	ぎぇん
gyl	ぎょん
gyq	ぎゃい
gyh	ぎゅう
gyw	ぎぇい
gyp	ぎょう
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zz	ざん
zn	ざん
zk	じん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zp	ぞう
zya	じゃ
zyu	じゅ
zye	じぇ
zyo	じょ
zyz	じゃん
zyn	じゃん
zyj	じゅん
zyd	じぇん
zyl	じょん
zyq	じゃい
zyh	じゅう
zyw	じぇい
zyp	じょう
ja	じゃ
ju	じゅ
je	じぇ
jo	じょ
jz	じゃん
jn	じゃん
jj	じゅん
jd	じぇん
jl	じょん
jq	じゃい
jh	じゅう
jw	じぇい
jp	じょう
ji	じ
jk	じん
da	だ
di	ぢ
du	づ
de	で
do	ど
dz	だん
dn	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dyi	でぃ
dyk	でぃん
dp	どう
dya	ぢゃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
dyz	ぢゃん
dyn	ぢゃん
dyj	ぢゅん
dyd	ぢぇん
dyl	ぢょん
dyq	ぢゃい
dyh	ぢゅう
dyw	ぢぇい
dyp	ぢょう
dga	でゃ
dgu	でゅ
dgo	でょ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bz	ばん
bn	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
bya	びゃ
byu	びゅ
bye	びぇ
byo	びょ
byz	びゃん
byn	びゃん
byj	びゅん
byd	びぇん
byl	びょん
byq	びゃい
byh	びゅう
byw	びぇい
byp	びょう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pz	ぱん
pn	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
pya	ぴゃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
pyz	ぴゃん
pyn	ぴゃん
pyj	ぴゅん
pyd	ぴぇん
pyl	ぴょん
pyq	ぴゃい
pyh	ぴゅう
pyw	ぴぇい
pyp	ぴょう
pga	ぴゃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ
pgz	ぴゃん
pgn	ぴゃん
pgj	ぴゅん
pgd	ぴぇん
pgl	ぴょん
pgq	ぴゃい
pgh	ぴゅう
pgw	ぴぇい
pgp	ぴょう
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fz	ふぁん
fn	ふぁん
fk	ふぃん
fj	ふん
fd	ふぇん
fl	ふぉん
fq	ふぁい
fh	ふう
fw	ふぇい
fpa	っぱ
fpi	っぴ
fpu	っぷ
fpe	っぺ
fpo	っぽ
fpz	っぱん
fpn	っぱん
fpk	っぴん
fpj	っぷん
fpd	っぺん
fpl	っぽん
fpf	っぽん
fpq	っぱい
fph	っぷう
fpw	っぺい
fpp	っぽう
fpya	っぴゃ
fpyu	っぴゅ
fpyo	っぴょ
fpyz	っぴゃん
fpyn	っぴゃん
fpyj	っぴゅん
fpyd	っぴぇん
fpyl	っぴょん
fpyf	っぴょう
fpyq	っぴゃい
fpyh	っぴゅう
fpyw	っぴぇい
fpyp	っぴょう
fpga	っぴゃ
fpgu	っぴゅ
fpgo	っぴょ
fpgz	っぴゃん
fpgn	っぴゃん
fpgj	っぴゅん
fpgd	っぴぇん
fpgl	っぴょん
fpgf	っぴょう
fpgq	っぴゃい
fpgh	っぴゅう
fpgw	っぴぇい
fpgp	っぴょう
va	ヴぁ
vi	ヴぃ
vu	ヴ
ve	ヴぇ
vo	ヴぉ
vz	ヴぁん
vn	ヴぁん
vk	ヴぃん
vj	ヴん
vd	ヴぇん
vl	ヴぉん
vq	ヴぁい
vh	ヴう
vw	ヴぇい
vp	ヴぉー
tgi	てぃ
tgu	とぅ
tgk	てぃん
tgj	とぅん
tsa	つぁ
tse	つぇ
dci	でぃ
dcu	どぅ
dck	でぃん
dcj	どぅん
wso	うぉ
wsl	うぉん
wsq	うぉー
wyk	うけ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lz	ぁん
ln	ぁん
lk	ぃん
lj	ぅん
ll	ぉん
lq	ぁい
lh	ぅう
lw	ぇい
lp	ぉう
lya	ゃ
lyu	ゅ
lyo	ょ
lyz	ゃん
lyn	ゃん
lyj	ゅん
lyl	ょん
lyq	ゃい
lyh	ゅう
lyp	ょう
ld	である
lt	こと
lr	から
lm	かも
st	した
tt	たち
wt	わた
ms	ます
ds	です
tm	ため
dm	でも
dv	でれ
sr	する
tr	たら
nr	なる
yr	よる
rr	られ
rs	られ
tb	たび
nb	ねば
bt	びと
gr	がら
gt	ごと
nt	にち
wr	われ
drr	でられ
krr	きられ
mrr	むられ
drs	でられ
krs	きられ
mrs	むられ
dtt	でたち
ktt	きたち
mtt	むたち
dtm	でため
ktm	きため
mtm	むため
kf	き
jf	じゅ
hf	ふ
yf	ゆ
mf	む
nf	ぬ
df	で
cf	ちぇ
pf	ぽん
lc	こく
sf	さい
wf	わざ
zc	ぜ
zx	ぜい
zf	ざ
zv	ざい
zw	ざわ
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
